 ex1018                    SWAT+ 2025-11-12        MODULAR Rev 2025.61.0.2.11-341-ga4e85d8                
          hru       year         mon         day     operation   lu_before         lu_after
         159        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         160        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         161        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         162        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         163        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         164        2005           1           1     LU_CHANGE hay_lum                                 bsvg_lum                                   0   0
         165        2005           1           1     LU_CHANGE hay_lum                                 bsvg_lum                                   0   0
         166        2005           1           1     LU_CHANGE hay_lum                                 bsvg_lum                                   0   0
         167        2005           1           1     LU_CHANGE hay_lum                                 bsvg_lum                                   0   0
         168        2005           1           1     LU_CHANGE hay_lum                                 bsvg_lum                                   0   0
         169        2005           1           1     LU_CHANGE hay_lum                                 bsvg_lum                                   0   0
         170        2005           1           1     LU_CHANGE hay_lum                                 bsvg_lum                                   0   0
         171        2005           1           1     LU_CHANGE hay_lum                                 bsvg_lum                                   0   0
         172        2005           1           1     LU_CHANGE hay_lum                                 bsvg_lum                                   0   0
         173        2005           1           1     LU_CHANGE past_lum                                bsvg_lum                                   0   0
         174        2005           1           1     LU_CHANGE past_lum                                bsvg_lum                                   0   0
         175        2005           1           1     LU_CHANGE past_lum                                bsvg_lum                                   0   0
         176        2005           1           1     LU_CHANGE past_lum                                bsvg_lum                                   0   0
         177        2005           1           1     LU_CHANGE past_lum                                bsvg_lum                                   0   0
         178        2005           1           1     LU_CHANGE frst_lum                                bsvg_lum                                   0   0
         179        2005           1           1     LU_CHANGE wetw_lum                                bsvg_lum                                   0   0
         180        2005           1           1     LU_CHANGE uidu_lum                                bsvg_lum                                   0   0
         181        2005           1           1     LU_CHANGE uidu_lum                                bsvg_lum                                   0   0
         182        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         183        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         184        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         185        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         186        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         187        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         188        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         189        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         190        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         191        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         192        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         193        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         194        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         195        2005           1           1     LU_CHANGE hay_lum                                 bsvg_lum                                   0   0
         196        2005           1           1     LU_CHANGE hay_lum                                 bsvg_lum                                   0   0
         197        2005           1           1     LU_CHANGE uidu_lum                                bsvg_lum                                   0   0
         198        2005           1           1     LU_CHANGE uidu_lum                                bsvg_lum                                   0   0
         199        2005           1           1     LU_CHANGE uidu_lum                                bsvg_lum                                   0   0
         200        2005           1           1     LU_CHANGE uidu_lum                                bsvg_lum                                   0   0
         201        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         202        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         203        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         204        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         205        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         206        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         207        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         208        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         209        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         210        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         211        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         212        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         213        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         214        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         215        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         216        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         217        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         218        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         219        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         220        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         221        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         222        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         223        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         224        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
