        jday         mon         day          yr   name        type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
          37           2           6        1997 chandeg m_4_1434           86983.50       94.62617       130.6885       33.00527       154.8165      0.3192975       87.24574       39.40105       25.88249      3.7400904E-16   666.8874       9.235254       18.93879      0.5208923       5.184837       4.591026      0.0000000E+00   10.35875    
          38           2           7        1997 chandeg m_4_1434           73369.59       73.70814       27.61980       7.660257       78.71503      0.1347132       74.05360       8.145781       5.393676      6.6779964E-11   505.1008       8.043572       15.17296      0.4659088       4.627253       4.055209      0.0000000E+00   9.016251    
          39           2           8        1997 chandeg m_4_1434           97167.66       118.5085       611.3664       151.8524       223.0023      0.1882858       109.2523       181.3564       124.1180      1.9452291E-09   545.0540       14.34848       20.53918      0.8020591       7.976854       7.087342      0.0000000E+00   9.076250    
          40           2           9        1997 chandeg m_4_1434           115077.6       113.0414       180.0587       45.71856       123.2702      0.1528824       117.8265       45.97894       30.19561      6.7231348E-10   1049.082       20.18551       21.86536       1.145617       11.39601       10.10125      0.0000000E+00   5.652500    
          41           2          10        1997 chandeg m_4_1434           100842.5       100.6400       165.2821       41.03921       114.6944      0.1392775       90.54521       43.58891       29.87307      1.7807061E-08   727.1230       23.95326       20.10739       1.367713       13.59864       12.00326      0.0000000E+00   5.213750    
          42           2          11        1997 chandeg m_4_1434           88123.16       93.61379       402.0109       96.46140       118.7554      0.0000000E+00   83.52039       116.7666       88.76769      7.5946360E-11   405.1327       25.69165       20.02997       1.464205       14.54868       12.77286      0.0000000E+00   6.095000    
          43           2          12        1997 chandeg m_4_1434           72757.01       78.24313       73.04481       18.97179       71.93159      0.0000000E+00   65.55022       20.89522       15.96734      3.4860409E-10   520.3281       22.82950       16.92616       1.330362       13.20091       11.44635      0.0000000E+00   5.341250    
          44           2          13        1997 chandeg m_4_1434           57256.40       62.07732       16.96571       5.000760       57.13104      2.9145915E-02   40.80797       5.154331       3.795185      1.6757302E-09   390.1258       17.90567       12.24698       1.089693       10.78976       9.206937      0.0000000E+00   7.595000    
          45           2          14        1997 chandeg m_4_1434           90856.46       167.3495       692.3673       168.0234       179.2441      0.4489884       151.2500       159.0816       87.30212      1.1712125E-07   726.3881       24.58044       19.08551       1.608616       15.94800       13.89225      0.0000000E+00   6.410000    
          46           2          15        1997 chandeg m_4_1434           253092.9       520.2338       3905.200       966.2342       314.2871      0.0000000E+00   531.8451       1097.507       760.6010      1.1917690E-07   583.0436       66.84158       42.44270       4.360193       43.38911       38.24404      0.0000000E+00   7.456250    
          47           2          16        1997 chandeg m_4_1434           310053.4       554.5214       698.1965       181.8115       212.3615      0.0000000E+00   329.4003       200.4564       140.9806      9.2187792E-13   2458.004       100.1071       53.39074       7.021976       69.93666       61.37210      0.0000000E+00   7.576250    
          48           2          17        1997 chandeg m_4_1434           222729.6       364.7707       148.9005       41.42751       167.2747      0.0000000E+00   126.9804       43.46616       30.70386      3.4418571E-07   1451.175       98.07861       41.30822       7.833575       78.02539       68.11092      0.0000000E+00   7.700000    
          49           2          18        1997 chandeg m_4_1434           133651.2       202.6900       38.07116       11.80572       154.7143      0.0000000E+00   43.70297       11.20694       7.938796      1.2517525E-07   818.9219       86.57148       27.90471       7.794612       77.63659       67.54672      0.0000000E+00   7.246250    
