 ceap_07010101             SWAT+ 2025-09-15        MODULAR Rev 2025.61.0.2.5-359-g015381a                 
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn    plant_cov       mgt_ops                          percn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha                                                      kgha
    21     1    21  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    21     1    21  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    22     1    22  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    22     1    22  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    22     1    22  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    23     1    23  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    23     1    23  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    23     1    23  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    24     1    24  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    24     1    24  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    24     1    24  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    25     1    25  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    25     1    25  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    25     1    25  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    26     1    26  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    26     1    26  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    26     1    26  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    27     1    27  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    27     1    27  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    27     1    27  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    28     1    28  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    28     1    28  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    28     1    28  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    29     1    29  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    29     1    29  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    29     1    29  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    30     1    30  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    30     1    30  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    30     1    30  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    31     1    31  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    31     1    31  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    31     1    31  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    32     2     1  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    32     2     1  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    32     2     1  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    33     2     2  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    33     2     2  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    33     2     2  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    34     2     3  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    34     2     3  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    34     2     3  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    35     2     4  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    35     2     4  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    35     2     4  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    36     2     5  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    36     2     5  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    36     2     5  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    37     2     6  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    37     2     6  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    37     2     6  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    38     2     7  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    38     2     7  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    38     2     7  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    39     2     8  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    39     2     8  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    39     2     8  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    40     2     9  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    40     2     9  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    40     2     9  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    41     2    10  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    41     2    10  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    41     2    10  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    42     2    11  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    42     2    11  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    42     2    11  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    43     2    12  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    43     2    12  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    43     2    12  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    44     2    13  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    44     2    13  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    44     2    13  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    45     2    14  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    45     2    14  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    45     2    14  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    46     2    15  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    46     2    15  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    46     2    15  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    47     2    16  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    47     2    16  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
